UNIDADE,SUBACAO,FONTE,DESPESA,MOD LICITACAO,CREDOR,N.PROCESSO-NE,EMPENHO,DATA NE,DOCUMENT-DC,UGDC,MOD EMPENHO,BANCO,AGENCIA,CONTA,FUNÇÃO,SUBFUNÇÃO,PROGRAMA,AÇÃO,COMPLEMENTO DO EMP.,HISTORICO,Empenhado,Reforco,Anulacao,Saldo Empenho,Liquidado no Exercicio,Empenhos a Liquidar,Pagamentos do Exercicio,Liquidados a Pagar,Total a Pagar,Em Liquidacao
170012 - FES,111801,1500001002,33901414,Não Aplicável,PF3349014 - DIARIAS PESS.CIVIL,0036.002737/2025-16,2025NE000080,2025-02-04,,170012,2 - ESTIMATIVO,001,02757X,0000073261,10,301,2084,1118,1,Estimativo de Empenho para as Diárias ED 30901414 da Fonte 1500 PA 2084 Ação 1118 referente à Coordenadoria do Sistema de Apoio à Descentralização COSAD para o 1º quadrimestre de 2025 no valor de R 3534750 CÓD 39039 Ofício 2375 0056520309 Informação 334 0057008679,35347.5,0.0,-35347.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170012 - FES,111801,1500001002,33901414,Não Aplicável,PF3349014 - DIARIAS PESS.CIVIL,0036.002737/2025-16,2025NE000388,2025-02-12,,170012,2 - ESTIMATIVO,001,02757X,0000073261,10,301,2084,1118,1,Estimativo de Empenho para as Diárias ED 30901414 da Fonte 1500 PA 2084 Ação 1118 referente à Coordenadoria do Sistema de Apoio à Descentralização COSAD para o 1º quadrimestre de 2025 no valor de R 3534750 CÓD 39039 Ofício 2375 0056520309 Informação 485 0057233791 Autorização 0057163436,29592.5,126558.0,-26032.5,130118.0,130118.0,0.0,130118.0,0.0,0.0,0.0
170012 - FES,111801,1500001002,33901417,Não Aplicável,PF3349014 - DIARIAS PESS.CIVIL,0036.005291/2025-81,2025NE001231,2025-03-11,,170012,2 - ESTIMATIVO,001,02757X,0000073261,10,301,2084,1118,1,16036 EPCCOSAD Ressarcimento de diárias para atender a COSAD no 1º quadrimestre de 2025 Despacho 0057772182,15575.0,0.0,-1112.5,14462.5,14462.5,0.0,14462.5,0.0,0.0,0.0
170012 - FES,111801,1600000001,33901414,Não Aplicável,PF3349014 - DIARIAS PESS.CIVIL,0036.006349/2025-12,2025NE000442,2025-02-18,,170012,1 - ORDINARIO,001,02757X,0000103330,10,301,2084,1118,1,CODIGO 16041 EPCDSDIG Estimativo de diárias com a finalidade de assegurar a manutenção das despesas decorrentes com diárias de pessoal civil para dentro e fora do Estado para os servidores do SESAUDSDIG referente ao exercício de 2025 conforme estabelecido na Programação Anual de Viagens 2025 0057342078 e Memorando 8 0057140258 nos termos do Decreto n 18728 de 27 de março de 2014 da Portaria n 23972018SESAUCCI Inf 0057477908,11724.0,0.0,-11724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170012 - FES,111801,1600000001,33901414,Não Aplicável,PF3349014 - DIARIAS PESS.CIVIL,0036.006349/2025-12,2025NE000888,2025-02-25,,170012,2 - ESTIMATIVO,001,02757X,0000103330,10,301,2084,1118,1,16041 EPCDSDIG Estimativo de diárias com a finalidade de assegurar a manutenção das despesas decorrentes com diárias de pessoal civil para dentro e fora do Estado para os servidores do SESAUDSDIG referente ao exercício de 2025Ref Janeiro a Março Informação 569 0057477908Errata 0057478841,11724.0,0.0,-7051.5,4672.5,4672.5,0.0,4672.5,0.0,0.0,0.0
170012 - FES,111801,1600000001,33901415,Não Aplicável,PF3349014 - DIARIAS PESS.CIVIL,0036.006349/2025-12,2025NE000890,2025-02-25,,170012,2 - ESTIMATIVO,001,02757X,0000103330,10,301,2084,1118,1,16041 EPCDSDIG Estimativo de diárias com a finalidade de assegurar a manutenção das despesas decorrentes com diárias de pessoal civil para dentro e fora do Estado para os servidores do SESAUDSDIG referente ao exercício de 2025Ref Janeiro a Março Informação 569 0057477908Errata 0057478841,7500.0,0.0,-1537.0,5963.0,5963.0,0.0,5963.0,0.0,0.0,0.0
170012 - FES,111801,1600000001,33901415,Não Aplicável,PF3349014 - DIARIAS PESS.CIVIL,0036.006349/2025-12,2025NE007901,2025-12-01,,170012,2 - ESTIMATIVO,001,02757X,0000103330,10,301,2084,1118,1,16041 EPCDSDIG Cobertura de despesas com viagens fora do Estado visando inicialmente o atendimento à agenda do Fórum de Saúde Digital e VI Encontro Nacional da Rede CIEGESCONASS Informação 1115 0066975343,8588.5,0.0,-630.1,7958.4,7958.4,0.0,7958.4,0.0,0.0,0.0
170012 - FES,111801,1600000001,33901415,Não Aplicável,PF3349014 - DIARIAS PESS.CIVIL,0036.021854/2025-89,2025NE002881,2025-06-02,,170012,2 - ESTIMATIVO,001,02757X,0000103330,10,301,2084,1118,1,16041 EPCDSDIGEstimativo de diárias para os servidores do SESAUDSDIG Ref Abril a Julho Parcial Informação 2047 0060792390,9000.0,0.0,-668.4,8331.6,8331.6,0.0,8331.6,0.0,0.0,0.0
170012 - FES,111801,2600000001,33901414,Não Aplicável,PF3349014 - DIARIAS PESS.CIVIL,0036.006349/2025-12,2025NE006166,2025-09-23,,170012,2 - ESTIMATIVO,001,02757X,0000103330,10,301,2084,1118,1,16041 EPCDSDIG Estimativo de diárias com a finalidade de assegurar a manutenção das despesas decorrentes com diárias de pessoal civil para DENTRO DO ESTADO para os servidores do SESAUDSDIG referente ao exercício de 2025 conforme estabelecido na Programação Anual de Viagens 2025 0057342078 e Memorando 8 0057140258 nos termos do Decreto n 18728 de 27 de março de 2014 da Portaria n 23972018SESAUCCI Informação 33 SEI nº 0064577989,24206.6,0.0,-1734.1,22472.5,22472.5,0.0,22472.5,0.0,0.0,0.0
170012 - FES,111801,2600000001,33901415,Não Aplicável,PF3349014 - DIARIAS PESS.CIVIL,0036.006349/2025-12,2025NE006167,2025-09-23,,170012,2 - ESTIMATIVO,001,02757X,0000103330,10,301,2084,1118,1,16041 EPCDSDIG Estimativo de diárias com a finalidade de assegurar a manutenção das despesas decorrentes com diárias de pessoal civil para FORA DO ESTADO para os servidores do SESAUDSDIG referente ao exercício de 2025 conforme estabelecido na Programação Anual de Viagens 2025 0057342078 e Memorando 8 0057140258 nos termos do Decreto n 18728 de 27 de março de 2014 da Portaria n 23972018SESAUCCI Informação 33 SEI nº 0064577989,24465.4,0.0,-6412.6,18052.8,18052.8,0.0,18052.8,0.0,0.0,0.0
