UNIDADE,FONTE DE RECURSO,DESPESA,NUMERO PROCESSO,DATA,DOCUMENTO,DOC.ORIG.NE,CREDOR,HISTORICO,MOVIMENTO
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31900405  SALARIO PESSOA REGIDO PELA CLT,0036.054323/2025-72,2025-12-02,2025NL049579,2025NE007657,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,Liberação da Ordem Bancária no2025OB165482 referente à Preparação Pagamento no2025PP023827 na assinatura da Ordem Bancária efetuada pelo usuário 97290459253Roselaine de Souza Chaga,0.0
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31900405  SALARIO PESSOA REGIDO PELA CLT,0036.054323/2025-72,2025-12-02,2025PP023827,2025NE007657,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,,2350543.29
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31900405  SALARIO PESSOA REGIDO PELA CLT,0036.054323/2025-72,2025-12-03,2025OB165482,2025NE007657,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,PGTO FOPAGNOVEMBRO2025,9747371.54
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31900405  SALARIO PESSOA REGIDO PELA CLT,0036.054323/2025-72,2025-12-31,2025NS001642,2025NE007657,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,,-12097914.83
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901101  VENCIMENTOS,0036.054323/2025-72,2025-12-02,2025OB164551,2025NE007655,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,FOPAGNOVEMBRO2025  COMPLEXO DA SAUDE,8814574.58
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901101  VENCIMENTOS,0036.054323/2025-72,2025-12-31,2025NS001642,2025NE007655,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,,-8814574.58
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901103  GRATIFICACAO DE FUNCAO,0036.054323/2025-72,2025-11-28,2025OB162365,2025NE007631,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,DESPESA COM PGTO FOPAGNOVEMBRO2025  COMPLEXO DA SAÚDE,6500.0
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901103  GRATIFICACAO DE FUNCAO,0036.054323/2025-72,2025-12-31,2025NS001641,2025NE007631,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,,-6500.0
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901104  GRATIFICACAO ADICIONAL POR TEMPO DE SERVICO,0036.054323/2025-72,2025-11-28,2025OB162365,2025NE007632,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,DESPESA COM PGTO FOPAGNOVEMBRO2025  COMPLEXO DA SAÚDE,225.2
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901104  GRATIFICACAO ADICIONAL POR TEMPO DE SERVICO,0036.054323/2025-72,2025-12-31,2025NS001641,2025NE007632,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,,-225.2
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901106  VANTAGEM PESSOAL,0036.054323/2025-72,2025-11-28,2025OB162365,2025NE007634,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,DESPESA COM PGTO FOPAGNOVEMBRO2025  COMPLEXO DA SAÚDE,152982.23
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901106  VANTAGEM PESSOAL,0036.054323/2025-72,2025-12-31,2025NS001641,2025NE007634,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,,-152982.23
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901107  ADICIONAL DE INSALUBRIDADE,0036.054323/2025-72,2025-11-28,2025OB162365,2025NE007635,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,DESPESA COM PGTO FOPAGNOVEMBRO2025  COMPLEXO DA SAÚDE,697273.49
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901107  ADICIONAL DE INSALUBRIDADE,0036.054323/2025-72,2025-12-31,2025NS001641,2025NE007635,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,,-697273.49
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901108  GRATIFICACAO DE REPRESENTACAO MENSAL,0036.054323/2025-72,2025-11-28,2025OB162365,2025NE007636,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,DESPESA COM PGTO FOPAGNOVEMBRO2025  COMPLEXO DA SAÚDE,3199991.72
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901108  GRATIFICACAO DE REPRESENTACAO MENSAL,0036.054323/2025-72,2025-12-31,2025NS001641,2025NE007636,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,,-3199991.72
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901110  ADICIONAL DE PERICULOSIDADE,0036.054323/2025-72,2025-11-28,2025OB162365,2025NE007637,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,DESPESA COM PGTO FOPAGNOVEMBRO2025  COMPLEXO DA SAÚDE,41487.9
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901110  ADICIONAL DE PERICULOSIDADE,0036.054323/2025-72,2025-12-31,2025NS001641,2025NE007637,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,,-41487.9
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901116  GRATIFICAÇÃO DE PRODUTIVIDADE,0036.054323/2025-72,2025-11-28,2025OB162365,2025NE007638,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,DESPESA COM PGTO FOPAGNOVEMBRO2025  COMPLEXO DA SAÚDE,3412.19
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901116  GRATIFICAÇÃO DE PRODUTIVIDADE,0036.054323/2025-72,2025-12-31,2025NS001642,2025NE007638,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,,-3412.19
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,"31901117  GRATIFICAÇÃO ESPECIALIZAÇÃO, MESTRADO, CONCLUSAO DE CURSOS",0036.054323/2025-72,2025-11-28,2025OB162365,2025NE007639,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,DESPESA COM PGTO FOPAGNOVEMBRO2025  COMPLEXO DA SAÚDE,5539.58
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,"31901117  GRATIFICAÇÃO ESPECIALIZAÇÃO, MESTRADO, CONCLUSAO DE CURSOS",0036.054323/2025-72,2025-12-31,2025NS001642,2025NE007639,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,,-5539.58
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901121  13 SALARIO,0036.054323/2025-72,2025-11-28,2025OB162365,2025NE007684,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,DESPESA COM PGTO FOPAGNOVEMBRO2025  COMPLEXO DA SAÚDE,15408.27
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901121  13 SALARIO,0036.054323/2025-72,2025-12-31,2025NS001643,2025NE007684,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,,-15408.27
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901130  FERIAS - PESSOAL CIVIL,0036.054323/2025-72,2025-11-28,2025OB162365,2025NE007685,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,DESPESA COM PGTO FOPAGNOVEMBRO2025  COMPLEXO DA SAÚDE,129763.09
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901130  FERIAS - PESSOAL CIVIL,0036.054323/2025-72,2025-12-02,2025OB164551,2025NE007687,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,FOPAGNOVEMBRO2025  COMPLEXO DA SAUDE,838409.78
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901130  FERIAS - PESSOAL CIVIL,0036.054323/2025-72,2025-12-31,2025NS001643,2025NE007685,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,,-129763.09
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901130  FERIAS - PESSOAL CIVIL,0036.054323/2025-72,2025-12-31,2025NS001644,2025NE007687,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,,-838409.78
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901139  GRATADICIONAL NOTURNO,0036.054323/2025-72,2025-11-28,2025OB162365,2025NE007640,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,DESPESA COM PGTO FOPAGNOVEMBRO2025  COMPLEXO DA SAÚDE,383533.22
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901139  GRATADICIONAL NOTURNO,0036.054323/2025-72,2025-12-31,2025NS001642,2025NE007640,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,,-383533.22
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901140  INDENIZACAO DE FERIAS,0036.054323/2025-72,2025-11-28,2025OB162365,2025NE007686,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,DESPESA COM PGTO FOPAGNOVEMBRO2025  COMPLEXO DA SAÚDE,211512.69
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901140  INDENIZACAO DE FERIAS,0036.054323/2025-72,2025-12-31,2025NS001644,2025NE007686,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,,-211512.69
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901143  ABONO DE PERMANENCIA,0036.054323/2025-72,2025-11-28,2025OB162365,2025NE007641,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,DESPESA COM PGTO FOPAGNOVEMBRO2025  COMPLEXO DA SAÚDE,177731.88
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901143  ABONO DE PERMANENCIA,0036.054323/2025-72,2025-12-31,2025NS001642,2025NE007641,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,,-177731.88
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901147  LICENÇA PREMIO INDENIZADA,0036.054323/2025-72,2025-11-28,2025OB162365,2025NE007643,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,DESPESA COM PGTO FOPAGNOVEMBRO2025  COMPLEXO DA SAÚDE,219712.31
170012  -  FES,1500000001  Recursos não Vinculados de Impostos,31901147  LICENÇA PREMIO INDENIZADA,0036.054323/2025-72,2025-12-31,2025NS001642,2025NE007643,04287520000188  -  SECRETARIA DE ESTADO DA SAUDE,,-219712.31
